Total_Population,Clean_Year,Clean_Census_Cost,Clean_ACPP
3929214,1790,44377,1.13 
5308483,1800,66109,1.24 
7239881,1810,178445,2.46 
9633822,1820,208526,2.16 
12866020,1830,378545,2.94 
17069458,1840,833371,4.88 
23191876,1850,1423351,6.14 
31443321,1860,1969377,6.26 
38558371,1870,3421198,8.87 
50155783,1880,5790678,11.54 
62979766,1890,11547127,18.33 
76303387,1900,11854000,15.54 
91972266,1910,15968000,17.07 
105710620,1920,25117000,23.76 
122775046,1930,40156000,32.71 
131669275,1940,67527000,51.29 
151325798,1950,91462000,60.44 
179323175,1960,127934000,71.34 
203302031,1970,247653000,1.22
226542199,1980,1078488000,4.76
248718301,1990,2492830000,10.02
281421906,2000,4500000000,15.99
308745538,2010,1300000000,42.11
